date,elbil,Tesla,begagnad elbil,isPartial
2026-03-03,26,58,0,False
2026-03-04,28,64,0,False
2026-03-05,29,60,0,False
2026-03-06,30,61,0,False
2026-03-07,38,56,4,False
2026-03-08,34,54,0,False
2026-03-09,33,69,0,False
2026-03-10,36,61,0,False
2026-03-11,39,66,0,False
2026-03-12,33,61,0,False
2026-03-13,36,58,0,False
2026-03-14,34,66,0,False
2026-03-15,39,67,0,False
2026-03-16,27,66,0,False
2026-03-17,34,58,0,False
2026-03-18,45,70,0,False
2026-03-19,39,71,0,False
2026-03-20,38,64,0,False
2026-03-21,44,70,4,False
2026-03-22,48,67,4,False
2026-03-23,38,75,5,False
2026-03-24,32,69,0,False
2026-03-25,33,69,0,False
2026-03-26,34,64,4,False
2026-03-27,32,67,0,False
2026-03-28,42,69,4,False
2026-03-29,46,73,0,False
2026-03-30,34,75,0,False
2026-03-31,37,74,0,False
2026-04-01,36,88,0,False
2026-04-02,40,92,0,False
2026-04-03,47,79,0,False
2026-04-04,46,73,5,False
2026-04-05,44,78,5,False
2026-04-06,58,82,0,False
2026-04-07,49,77,0,False
2026-04-08,68,76,0,False
2026-04-09,47,87,0,False
2026-04-10,68,94,5,False
2026-04-11,71,79,4,False
2026-04-12,49,74,0,False
2026-04-13,55,80,4,False
2026-04-14,43,74,5,False
2026-04-15,42,75,4,False
2026-04-16,43,81,0,False
2026-04-17,76,86,0,False
2026-04-18,93,71,0,False
2026-04-19,86,70,4,False
2026-04-20,45,64,4,False
2026-04-21,48,70,5,False
2026-04-22,81,100,5,False
2026-04-23,50,95,3,False
2026-04-24,48,76,4,False
2026-04-25,55,66,0,False
2026-04-26,48,69,6,False
2026-04-27,47,78,3,False
2026-04-28,89,69,4,False
2026-04-29,62,67,4,False
2026-04-30,51,69,0,False
2026-05-01,46,69,5,False
2026-05-02,72,66,0,False
2026-05-03,84,62,6,False
2026-05-04,58,66,3,False
2026-05-05,47,66,8,False
2026-05-06,44,64,3,False
2026-05-07,54,70,5,False
2026-05-08,80,62,0,False
2026-05-09,53,62,0,False
2026-05-10,46,79,4,False
2026-05-11,42,65,4,False
2026-05-12,43,58,3,False
2026-05-13,39,82,0,False
2026-05-14,57,72,0,False
2026-05-15,47,62,7,False
2026-05-16,52,65,0,False
2026-05-17,54,56,5,False
2026-05-18,42,76,0,False
2026-05-19,44,69,4,False
2026-05-20,42,61,3,False
2026-05-21,47,73,2,False
2026-05-22,63,57,3,False
2026-05-23,50,77,3,False
2026-05-24,79,59,3,False
2026-05-25,80,58,3,False
2026-05-26,74,69,2,False
2026-05-27,53,63,3,False
2026-05-28,75,61,3,False
2026-05-29,93,67,2,False
2026-05-30,79,53,3,False
2026-05-31,62,66,3,False
2026-06-01,57,58,3,False
2026-06-02,42,59,2,False
2026-06-03,49,48,2,True
